,g/h,l,m,res_lon[deg],dg[nT],g[nT],loncN[deg],latcN[deg],loncS[deg],latcS[deg],G_N_centroid[deg/nT],G_S_centroid[deg/nT],G_N_centroid_lon[deg/nT],G_S_centroid_lon[deg/nT],G_N_centroid_lat[deg/nT],G_S_centroid_lat[deg/nT]
0,g,1.0,0.0,0.5,-55.52736709339272,-29460.327367093392,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,-6.458844649893426e-05,-0.00027000726988259046,-5.924598380543439e-05,7.616197895130716e-06,-0.00021722151021275757,0.0005070032441113863
1,g,1.0,0.0,0.5,55.52736709339272,-29349.272632906606,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,6.47882186112469e-05,0.0002709838367612267,-5.942662211799868e-05,7.561977948591424e-06,-0.0002180492924213004,0.0005088353412397204
2,g,1.0,1.0,0.5,-55.52736709339272,-1506.4273670933928,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,-0.016152033631103988,-0.006730970240350271,-0.016152012490992837,-0.0067091613859628415,0.0002075510545485896,-0.0010117964191077504
3,g,1.0,1.0,0.5,55.52736709339272,-1395.3726329066074,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,0.016206220836652147,0.006790469372227506,-0.016206208701842285,-0.006769666680197114,0.00017979760277085963,-0.0010029467248079433
4,h,1.0,1.0,0.5,-55.52736709339272,4596.972632906607,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,-0.0022801716550205743,-0.004321116633608253,-0.002268415547233527,-0.004235365579882754,-0.001935613677630163,0.001603841450649583
5,h,1.0,1.0,0.5,55.52736709339272,4708.027367093393,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,0.002203444503470407,0.004268437958286769,-0.002191709967729279,-0.004182503472100063,-0.0019357087234693072,0.0016060064113846283
6,g,2.0,0.0,0.5,-74.6754955373144,-2574.2754955373143,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,-8.253108354711593e-05,-0.0002719446117170082,7.977099246355431e-05,0.00015061865485884918,-0.0001788665433352899,-0.00042539865073266974
7,g,2.0,0.0,0.5,74.6754955373144,-2424.9245044626855,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,8.35192069954248e-05,0.000270849937673727,8.077284266311147e-05,0.0001497216736208779,-0.00017935420478125454,-0.0004239170960773592
8,g,2.0,1.0,0.5,-74.6754955373144,2907.3245044626856,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,-0.008721138945638734,-0.0034791261341880083,-0.008721128038328595,0.003468152078111957,0.00011132947541518602,0.0005205524108806929
9,g,2.0,1.0,0.5,74.6754955373144,3056.6754955373144,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,0.008745023478448279,0.0034582948772230405,-0.008745016169797006,0.003446968968853611,0.00010042930779932511,0.0005234653177889978
10,h,2.0,1.0,0.5,-74.6754955373144,-3066.2754955373143,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,-0.0010467907383186754,-0.0021929768322456137,-0.0010409713981612086,0.0021534149944040463,-0.0009258407094309865,-0.0007806927173123959
11,h,2.0,1.0,0.5,74.6754955373144,-2916.9245044626855,-83.20129287802216,83.70103543669899,122.16413796493644,-75.20130105901194,0.0010240676476614963,0.0022127413498020916,-0.0010182533346283363,0.0021732020848378034,-0.0009256740130448736,-0.0007805057911538131
