,g/h,l,m,res_lon[deg],dg[nT],g[nT],"dist_min, Leeds","G_dist[deg/nT], Leeds","dist_min, Dunedin","G_dist[deg/nT], Dunedin","dist_min, Edmonton","G_dist[deg/nT], Edmonton","dist_min, Salekhard","G_dist[deg/nT], Salekhard"
0,g,1.0,0.0,0.5,-55.52736709339272,-29460.327367093392,12.982356031882125,6.859284468489216e-05,11.681226670071485,-0.00015792849523315887,1.9732034441419648,-7.786236187864227e-05,0.7691098191031852,4.238637309470466e-05
1,g,1.0,0.0,0.5,55.52736709339272,-29349.272632906606,12.982356031882125,6.890258739058589e-05,11.681226670071485,-0.0001582074001172463,1.9732034441419648,-7.810269615775634e-05,0.7691098191031852,4.254110743510146e-05
2,g,1.0,1.0,0.5,-55.52736709339272,-1506.4273670933928,12.982356031882125,0.0018984973108161715,11.681226670071485,0.0016905069175859274,1.9732034441419648,-0.0004523587067135005,0.7691098191031852,0.0002615392254254109
3,g,1.0,1.0,0.5,55.52736709339272,-1395.3726329066074,12.982356031882125,0.0018984380948439143,11.681226670071485,0.0016926729093945604,1.9732034441419648,-0.0004495386949520438,0.7691098191031852,0.0002641712955087632
4,h,1.0,1.0,0.5,-55.52736709339272,4596.972632906607,12.982356031882125,0.00026081728022265356,11.681226670071485,0.0002970486313020787,1.9732034441419648,-0.0006130185571707154,0.7691098191031852,0.0006684819068001648
5,h,1.0,1.0,0.5,55.52736709339272,4708.027367093393,12.982356031882125,0.000268002758344079,11.681226670071485,0.00030436826552218243,1.9732034441419648,-0.0006117624851178947,0.7691098191031852,0.0006692489506364403
6,g,2.0,0.0,0.5,-74.6754955373144,-2574.2754955373143,12.982356031882125,-0.000545373956130808,11.681226670071485,0.0006790738061973844,1.9732034441419648,-0.00029704557500951625,0.7691098191031852,-0.00019963148749588491
7,g,2.0,0.0,0.5,74.6754955373144,-2424.9245044626855,12.982356031882125,-0.0005480319394048059,11.681226670071485,0.0006770399491103409,1.9732034441419648,-0.00029802537349671413,0.7691098191031852,-0.00020056808794382522
8,g,2.0,1.0,0.5,-74.6754955373144,2907.3245044626856,12.982356031882125,0.0010005979629324725,11.681226670071485,-0.0006503254029545171,1.9732034441419648,-0.0001927741109305318,0.7691098191031852,0.0001412584723138998
9,g,2.0,1.0,0.5,74.6754955373144,3056.6754955373144,12.982356031882125,0.0010050730109982728,11.681226670071485,-0.0006462522279457054,1.9732034441419648,-0.0001913240144026291,0.7691098191031852,0.0001427034995026845
10,h,2.0,1.0,0.5,-74.6754955373144,-3066.2754955373143,12.982356031882125,0.00014878668936472354,11.681226670071485,-0.0001774258325331213,1.9732034441419648,-0.00021500229512273598,0.7691098191031852,0.00036462995369024716
11,h,2.0,1.0,0.5,74.6754955373144,-2916.9245044626855,12.982356031882125,0.00015161099798923045,11.681226670071485,-0.00017537791062118178,1.9732034441419648,-0.0002138648227990674,0.7691098191031852,0.0003662926229619431
12,g,2.0,2.0,0.5,-74.6754955373144,1602.3245044626856,12.982356031882125,0.0007862718712494123,11.681226670071485,-0.0007855194110940074,1.9732034441419648,-0.0001521642140990537,0.7691098191031852,-0.00018670558134908
13,g,2.0,2.0,0.5,74.6754955373144,1751.6754955373144,12.982356031882125,0.0007846683983551338,11.681226670071485,-0.000786200475568942,1.9732034441419648,-0.0001508549218475495,0.7691098191031852,-0.00018629339118865338
14,h,2.0,2.0,0.5,-74.6754955373144,-809.2754955373144,12.982356031882125,0.00012357962452291119,11.681226670071485,-0.00011006426785007129,1.9732034441419648,0.0003232656243845075,0.7691098191031852,0.00019219520889123494
15,h,2.0,2.0,0.5,74.6754955373144,-659.9245044626856,12.982356031882125,0.00012709282120247327,11.681226670071485,-0.0001060751582363366,1.9732034441419648,0.0003235924364349911,0.7691098191031852,0.00019258839097082922
16,g,3.0,0.0,0.5,-100.42668913806658,1262.7733108619334,12.982356031882125,-0.0006661461900836517,11.681226670071485,-0.0006715203294622445,1.9732034441419648,-0.0002931353086847988,0.7691098191031852,-0.0002494815402638395
17,g,3.0,0.0,0.5,100.42668913806658,1463.6266891380667,12.982356031882125,-0.0006702665360846242,11.681226670071485,-0.0006724009137592345,1.9732034441419648,-0.00029364928680937415,0.7691098191031852,-0.0002509605544978245
18,g,3.0,1.0,0.5,-100.42668913806658,-2481.6266891380665,12.982356031882125,0.00048560371442920463,11.681226670071485,4.8242404434974365e-05,1.9732034441419648,-5.711668306906014e-05,0.7691098191031852,6.859445806435235e-05
19,g,3.0,1.0,0.5,100.42668913806658,-2280.773310861933,12.982356031882125,0.0004909979778898835,11.681226670071485,4.928262206363003e-05,1.9732034441419648,-5.659166790020434e-05,0.7691098191031852,6.942019804274182e-05
20,h,3.0,1.0,0.5,-100.42668913806658,-182.52668913806656,12.982356031882125,0.00010631784686410286,11.681226670071485,0.0001479427981978452,1.9732034441419648,3.749087395047388e-06,0.7691098191031852,0.00018789926990740835
21,h,3.0,1.0,0.5,100.42668913806658,18.326689138066584,12.982356031882125,0.00010727416795956674,11.681226670071485,0.00014804700921522662,1.9732034441419648,3.7018924222552795e-06,0.7691098191031852,0.00018967181304255693
22,g,3.0,2.0,0.5,-100.42668913806658,1135.7733108619334,12.982356031882125,0.0007202745755577783,11.681226670071485,0.0006326604115730987,1.9732034441419648,-0.00011432048458822116,0.7691098191031852,-0.00017135088035891794
23,g,3.0,2.0,0.5,100.42668913806658,1336.6266891380667,12.982356031882125,0.0007204236045187813,11.681226670071485,0.000634857682411503,1.9732034441419648,-0.00011298658457632785,0.7691098191031852,-0.00017058270240058002
24,h,3.0,2.0,0.5,-100.42668913806658,141.47331086193344,12.982356031882125,9.021484896227655e-05,11.681226670071485,6.956425767657759e-05,1.9732034441419648,0.00025479465824558925,0.7691098191031852,0.00017816013074689157
25,h,3.0,2.0,0.5,100.42668913806658,342.32668913806657,12.982356031882125,9.419384914328411e-05,11.681226670071485,7.307296494108501e-05,1.9732034441419648,0.00025613518445262396,0.7691098191031852,0.0001789368697361876
26,g,3.0,3.0,0.5,-100.42668913806658,425.27331086193345,12.982356031882125,0.00030111211929262127,11.681226670071485,0.00036260015638324807,1.9732034441419648,0.0001648730781735184,0.7691098191031852,-8.677383865249905e-05
27,g,3.0,3.0,0.5,100.42668913806658,626.1266891380666,12.982356031882125,0.0003004274639126844,11.681226670071485,0.0003620044220779062,1.9732034441419648,0.00016460254491434658,0.7691098191031852,-8.688148686308656e-05
28,h,3.0,3.0,0.5,-100.42668913806658,-643.8266891380665,12.982356031882125,4.302928018188605e-05,11.681226670071485,3.1250120499943478e-06,1.9732034441419648,-2.8973072104009654e-06,0.7691098191031852,-3.034826916558081e-05
29,h,3.0,3.0,0.5,100.42668913806658,-442.9733108619334,12.982356031882125,4.4069207823648455e-05,11.681226670071485,4.619707969263362e-06,1.9732034441419648,-2.106831642213563e-06,0.7691098191031852,-3.0099835352496012e-05
30,g,4.0,0.0,0.5,-135.05795734819398,767.942042651806,12.982356031882125,-0.0006985056929439533,11.681226670071485,0.0005368164572705686,1.9732034441419648,-0.00024145561048637246,0.7691098191031852,-0.00026337813256235355
31,g,4.0,0.0,0.5,135.05795734819398,1038.057957348194,12.982356031882125,-0.0007020848121758473,11.681226670071485,0.0005389698637082543,1.9732034441419648,-0.0002406016832976625,0.7691098191031852,-0.00026483710425502
32,g,4.0,1.0,0.5,-135.05795734819398,674.442042651806,12.982356031882125,0.00012270822890580763,11.681226670071485,0.000329652261537035,1.9732034441419648,2.8700846272086526e-05,0.7691098191031852,1.8572946556198644e-05
