,g/h,l,m,res_lon[deg],dg[nT],g[nT],areaN[km^2],areaS[km^2],G_areaN_dg[km^2/nT],G_areaS_dg[km^2/nT],G_N_plus_dg[km^2/nT],G_N_minus_dg[km^2/nT],G_S_plus_dg[km^2/nT],G_S_minus_dg[km^2/nT]
0,g,1,0,0.5,-55.52736709,-29460.32737,8300944.757,8725038.598,-1.339604062,-29.10270924,-221.0877428,-219.7481507,-570.4600163,-541.3578574
1,g,1,0,0.5,55.52736709,-29349.27263,8300944.757,8725038.598,-1.337349635,-29.38415987,220.5483261,221.8856644,543.2926467,572.6761894
2,g,1,1,0.5,-55.52736709,-1506.427367,8300944.757,8725038.598,-26.73754353,225.5951554,-2132.335758,-2105.598162,-2091.740928,-2317.33579
3,g,1,1,0.5,55.52736709,-1395.372633,8300944.757,8725038.598,-26.5893567,226.8236018,2105.579838,2132.169209,2322.106516,2095.283067
4,h,1,1,0.5,-55.52736709,4596.972633,8300944.757,8725038.598,37.9123803,-80.17330045,-1886.31604,-1924.228391,-2138.460661,-2058.288364
5,h,1,1,0.5,55.52736709,4708.027367,8300944.757,8725038.598,37.79936479,-80.0499429,1923.774582,1885.975111,2055.712084,2135.762787
6,g,2,0,0.5,-74.67549554,-2574.275496,8300944.757,8725038.598,353.9300002,-395.6704977,-742.8925441,-1096.822544,-1035.183325,-639.5128232
7,g,2,0,0.5,74.67549554,-2424.924504,8300944.757,8725038.598,355.6362239,-393.3643767,1103.264537,747.628313,636.2480732,1029.612451
8,g,2,1,0.5,-74.67549554,2907.324504,8300944.757,8725038.598,1.329653649,-173.3650408,-1106.722924,-1108.052567,-1194.313614,-1020.948943
9,g,2,1,0.5,74.67549554,3056.675496,8300944.757,8725038.598,0.096541477,-174.9600046,1107.730908,1107.63437,1019.265719,1194.225868
10,h,2,1,0.5,-74.67549554,-3066.275496,8300944.757,8725038.598,-51.37500278,180.5201011,-910.5910707,-859.2160676,-932.3140074,-1112.833908
11,h,2,1,0.5,74.67549554,-2916.924504,8300944.757,8725038.598,-52.23488923,179.5438011,858.5455774,910.780479,1113.898096,934.3544177
12,g,2,2,0.5,-74.67549554,1602.324504,8300944.757,8725038.598,-31.10420924,60.72828819,-776.5528406,-745.4487162,-778.6598749,-839.3880665
