# Gorgon model OCB ionospheric coordinates (Solar Magnetic longitude and latitude in degrees) for different IMF Bz values
# -2nT Lon., -2nT Lat., -4nT Lon., -4nT Lat., -6nT Lon., -6nT Lat., -8nT Lon., -8nT Lat., -10nT Lon., -10nT Lat., -20nT Lon., -20nT Lat.
-180.00000, 69.65023, -180.00000, 68.94828, -180.00000, 67.60084, -180.00000, 68.26487, -180.00000, 67.60084, -180.00000, 66.95705
-172.80000, 70.36988, -172.80000, 68.26487, -172.80000, 67.60084, -172.80000, 67.60084, -172.80000, 66.95705, -172.80000, 66.33432
-169.20000, 71.85897, -169.20000, 68.26487, -169.20000, 66.95705, -169.20000, 68.26487, -169.20000, 66.95705, -169.20000, 66.33432
-162.00000, 72.62675, -162.00000, 68.94828, -162.00000, 67.60084, -162.00000, 68.26487, -162.00000, 66.33432, -162.00000, 66.95705
-154.80000, 69.65023, -154.80000, 71.10640, -154.80000, 68.26487, -154.80000, 67.60084, -154.80000, 68.94828, -154.80000, 66.95705
-151.20000, 69.65023, -151.20000, 68.94828, -151.20000, 68.94828, -151.20000, 68.26487, -151.20000, 69.65023, -151.20000, 66.95705
-144.00000, 69.65023, -144.00000, 68.26487, -144.00000, 68.26487, -144.00000, 68.94828, -144.00000, 66.95705, -144.00000, 66.95705
-140.40000, 69.65023, -140.40000, 68.26487, -140.40000, 67.60084, -140.40000, 69.65023, -140.40000, 66.33432, -140.40000, 66.95705
-133.20000, 69.65023, -133.20000, 68.94828, -133.20000, 67.60084, -133.20000, 69.65023, -133.20000, 66.95705, -133.20000, 66.33432
-126.00000, 69.65023, -126.00000, 68.94828, -126.00000, 68.26487, -126.00000, 69.65023, -126.00000, 66.95705, -126.00000, 66.33432
-122.40000, 70.36988, -122.40000, 68.94828, -122.40000, 68.26487, -122.40000, 68.94828, -122.40000, 68.26487, -122.40000, 67.60084
-115.20000, 70.36988, -115.20000, 68.94828, -115.20000, 68.26487, -115.20000, 67.60084, -115.20000, 68.26487, -115.20000, 67.60084
-111.60000, 70.36988, -111.60000, 68.94828, -111.60000, 68.26487, -111.60000, 67.60084, -111.60000, 68.26487, -111.60000, 68.26487
-104.40000, 71.10640, -104.40000, 69.65023, -104.40000, 68.26487, -104.40000, 67.60084, -104.40000, 68.26487, -104.40000, 68.94828
-97.20000, 71.10640, -97.20000, 69.65023, -97.20000, 68.26487, -97.20000, 67.60084, -97.20000, 68.26487, -97.20000, 63.08734
-93.60000, 71.85897, -93.60000, 69.65023, -93.60000, 68.94828, -93.60000, 68.26487, -93.60000, 68.26487, -93.60000, 63.08734
-86.40000, 71.85897, -86.40000, 70.36988, -86.40000, 68.94828, -86.40000, 68.26487, -86.40000, 68.26487, -86.40000, 62.63531
-82.80000, 73.40895, -82.80000, 71.10640, -82.80000, 69.65023, -82.80000, 68.26487, -82.80000, 68.26487, -82.80000, 62.63531
-75.60000, 73.40895, -75.60000, 71.10640, -75.60000, 69.65023, -75.60000, 67.60084, -75.60000, 67.60084, -75.60000, 62.63531
-68.40000, 74.20476, -68.40000, 71.10640, -68.40000, 69.65023, -68.40000, 67.60084, -68.40000, 66.95705, -68.40000, 63.56615
-64.80000, 74.20476, -64.80000, 71.85897, -64.80000, 70.36988, -64.80000, 68.26487, -64.80000, 66.95705, -64.80000, 63.56615
-57.60000, 75.01339, -57.60000, 71.85897, -57.60000, 70.36988, -57.60000, 68.94828, -57.60000, 66.33432, -57.60000, 64.07098
-54.00000, 75.01339, -54.00000, 72.62675, -54.00000, 70.36988, -54.00000, 68.94828, -54.00000, 67.60084, -54.00000, 64.07098
-46.80000, 75.83406, -46.80000, 72.62675, -46.80000, 71.10640, -46.80000, 68.94828, -46.80000, 68.26487, -46.80000, 63.56615
-43.20000, 75.01339, -43.20000, 72.62675, -43.20000, 71.10640, -43.20000, 69.65023, -43.20000, 68.26487, -43.20000, 63.56615
-36.00000, 75.01339, -36.00000, 72.62675, -36.00000, 71.10640, -36.00000, 69.65023, -36.00000, 68.26487, -36.00000, 63.56615
-28.80000, 75.01339, -28.80000, 72.62675, -28.80000, 71.10640, -28.80000, 69.65023, -28.80000, 68.26487, -28.80000, 64.07098
-25.20000, 75.01339, -25.20000, 72.62675, -25.20000, 71.10640, -25.20000, 69.65023, -25.20000, 68.26487, -25.20000, 64.07098
-18.00000, 75.01339, -18.00000, 72.62675, -18.00000, 71.10640, -18.00000, 69.65023, -18.00000, 68.26487, -18.00000, 64.07098
-14.40000, 75.01339, -14.40000, 72.62675, -14.40000, 71.10640, -14.40000, 69.65023, -14.40000, 68.26487, -14.40000, 64.07098
-7.20000, 74.20476, -7.20000, 72.62675, -7.20000, 71.10640, -7.20000, 69.65023, -7.20000, 67.60084, -7.20000, 64.07098
0.00000, 74.20476, 0.00000, 71.85897, 0.00000, 71.10640, 0.00000, 68.94828, 0.00000, 68.26487, 0.00000, 64.07098
3.60000, 75.01339, 3.60000, 71.85897, 3.60000, 71.10640, 3.60000, 68.94828, 3.60000, 68.26487, 3.60000, 64.07098
10.80000, 74.20476, 10.80000, 72.62675, 10.80000, 71.10640, 10.80000, 68.94828, 10.80000, 67.60084, 10.80000, 63.56615
14.40000, 75.01339, 14.40000, 72.62675, 14.40000, 71.10640, 14.40000, 69.65023, 14.40000, 67.60084, 14.40000, 64.07098
21.60000, 75.01339, 21.60000, 72.62675, 21.60000, 71.10640, 21.60000, 69.65023, 21.60000, 67.60084, 21.60000, 64.07098
28.80000, 75.01339, 28.80000, 72.62675, 28.80000, 71.10640, 28.80000, 69.65023, 28.80000, 68.26487, 28.80000, 64.07098
32.40000, 75.83406, 32.40000, 72.62675, 32.40000, 71.10640, 32.40000, 69.65023, 32.40000, 68.26487, 32.40000, 64.07098
39.60000, 75.01339, 39.60000, 72.62675, 39.60000, 71.10640, 39.60000, 68.94828, 39.60000, 68.26487, 39.60000, 63.56615
43.20000, 75.01339, 43.20000, 72.62675, 43.20000, 71.10640, 43.20000, 68.94828, 43.20000, 67.60084, 43.20000, 63.56615
50.40000, 75.01339, 50.40000, 71.85897, 50.40000, 70.36988, 50.40000, 68.94828, 50.40000, 66.33432, 50.40000, 63.56615
57.60000, 75.01339, 57.60000, 71.85897, 57.60000, 70.36988, 57.60000, 68.94828, 57.60000, 65.73352, 57.60000, 63.56615
61.20000, 75.01339, 61.20000, 71.85897, 61.20000, 69.65023, 61.20000, 68.26487, 61.20000, 65.73352, 61.20000, 63.56615
68.40000, 74.20476, 68.40000, 71.10640, 68.40000, 69.65023, 68.40000, 68.26487, 68.40000, 65.73352, 68.40000, 62.21080
72.00000, 74.20476, 72.00000, 71.10640, 72.00000, 69.65023, 72.00000, 68.26487, 72.00000, 66.33432, 72.00000, 62.21080
79.20000, 73.40895, 79.20000, 71.10640, 79.20000, 69.65023, 79.20000, 67.60084, 79.20000, 68.26487, 79.20000, 62.21080
86.40000, 72.62675, 86.40000, 71.10640, 86.40000, 68.94828, 86.40000, 68.26487, 86.40000, 68.94828, 86.40000, 65.73352
90.00000, 71.85897, 90.00000, 71.10640, 90.00000, 68.94828, 90.00000, 67.60084, 90.00000, 68.94828, 90.00000, 65.73352
97.20000, 71.10640, 97.20000, 70.36988, 97.20000, 68.26487, 97.20000, 67.60084, 97.20000, 68.94828, 97.20000, 65.15548
100.80000, 71.10640, 100.80000, 69.65023, 100.80000, 68.26487, 100.80000, 67.60084, 100.80000, 68.94828, 100.80000, 64.60102
108.00000, 70.36988, 108.00000, 69.65023, 108.00000, 68.26487, 108.00000, 67.60084, 108.00000, 68.94828, 108.00000, 65.15548
111.60000, 70.36988, 111.60000, 69.65023, 111.60000, 67.60084, 111.60000, 67.60084, 111.60000, 69.65023, 111.60000, 66.95705
118.80000, 70.36988, 118.80000, 69.65023, 118.80000, 67.60084, 118.80000, 66.95705, 118.80000, 68.94828, 118.80000, 69.65023
126.00000, 69.65023, 126.00000, 68.94828, 126.00000, 67.60084, 126.00000, 67.60084, 126.00000, 68.26487, 126.00000, 68.94828
129.60000, 69.65023, 129.60000, 68.94828, 129.60000, 68.26487, 129.60000, 66.95705, 129.60000, 70.36988, 129.60000, 67.60084
136.80000, 69.65023, 136.80000, 68.94828, 136.80000, 68.26487, 136.80000, 66.95705, 136.80000, 68.94828, 136.80000, 66.95705
140.40000, 68.94828, 140.40000, 68.94828, 140.40000, 68.26487, 140.40000, 67.60084, 140.40000, 68.94828, 140.40000, 66.95705
147.60000, 68.94828, 147.60000, 68.94828, 147.60000, 68.94828, 147.60000, 68.26487, 147.60000, 68.94828, 147.60000, 66.95705
154.80000, 69.65023, 154.80000, 69.65023, 154.80000, 68.26487, 154.80000, 67.60084, 154.80000, 68.26487, 154.80000, 66.95705
158.40000, 69.65023, 158.40000, 70.36988, 158.40000, 68.26487, 158.40000, 67.60084, 158.40000, 67.60084, 158.40000, 66.95705
165.60000, 70.36988, 165.60000, 68.94828, 165.60000, 67.60084, 165.60000, 67.60084, 165.60000, 66.95705, 165.60000, 66.33432
169.20000, 71.85897, 169.20000, 68.26487, 169.20000, 67.60084, 169.20000, 67.60084, 169.20000, 66.95705, 169.20000, 66.95705
176.40000, 70.36988, 176.40000, 68.94828, 176.40000, 66.95705, 176.40000, 67.60084, 176.40000, 67.60084, 176.40000, 67.60084
